contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid
129854,가나아트센터,서울특별시 종로구 평창30길 28,(평창동),1,23,126.9751811398,37.6122099878,20240828180420,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image3_1.jpg,A02,A0206,A02060500,14
2994669,가람문학관,전북특별자치도 익산시 가람1길 76 가람문학관,,37,9,127.0844949735,36.0353602265,20240118174312,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2994662_image3_1.jpg,A02,A0206,A02060200,14
129898,가람화랑,서울특별시 종로구 인사동10길 11,,1,23,126.9856034879,37.5742756967,20240615143929,,,A02,A0206,A02060500,14
2732489,가야금테마공원,전라남도 영암군 영암읍 기찬랜드로 19-10,,38,17,126.6853841377,34.7916054707,20230822154853,http://tong.visitkorea.or.kr/cms/resource/90/2732490_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2732490_image2_1.jpg,A02,A0202,A02020600,14
2714751,가원미술관,경기도 과천시 새빛로 24,(문원동),31,3,126.9992259352,37.4240072795,20230613151855,,,A02,A0206,A02060500,14
130611,가일미술관,경기도 가평군 청평면 북한강로 1549,,31,1,127.3794096039,37.6604061569,20240611170832,,,A02,A0206,A02060500,14
2997700,가일서가,경상북도 안동시 노동길 16,,35,11,128.5220131517,36.5739941223,20240805134942,,,A02,A0206,A02060900,14
130523,가족문화센터,울산광역시 남구 대공원로 84,(옥동),7,2,129.2905556337,35.5319960593,20240805000001,http://tong.visitkorea.or.kr/cms/resource/93/3341793_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3341793_image3_1.jpg,A02,A0203,A02030400,14
130105,가천박물관,인천광역시 연수구 청량로102번길 40-9,,2,8,126.6576044255,37.4182241030,20240617162754,,,A02,A0206,A02060100,14
130233,가톨릭대학교 성신교정도서관,서울특별시 종로구 창경궁로 296-12,(혜화동),1,23,127.0043347827,37.5859580079,20231206115022,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image3_1.jpg,A02,A0206,A02060900,14
130220,가평문화예술회관,경기도 가평군 가평읍 문화로 131,,31,1,127.5085264086,37.8242478130,20240823153354,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg,A02,A0206,A02060600,14
129877,가평문화원,경기도 가평군 가평읍 문화로 131,,31,1,127.5085264086,37.8242478130,20240823153605,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image3_1.jpg,A02,A0206,A02060700,14
2772315,가평뮤직빌리지,경기도 가평군 가평읍 석봉로 100,,31,1,127.5129954137,37.8253449903,20240710090647,http://tong.visitkorea.or.kr/cms/resource/53/3332053_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/53/3332053_image3_1.png,A02,A0206,A02060600,14
130446,가회민화박물관,서울특별시 종로구 북촌로 52,(가회동),1,23,126.9852144301,37.5814804075,20240828112103,http://tong.visitkorea.or.kr/cms/resource/90/3355090_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/90/3355090_image3_1.png,A02,A0206,A02060100,14
130511,간송미술관(서울 보화각),서울특별시 성북구 성북로 102-11 (성북동),,1,24,126.9973796423,37.5936764304,20240603130415,http://tong.visitkorea.or.kr/cms/resource/18/2384418_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2384418_image2_1.jpg,A02,A0206,A02060500,14
590415,감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,(신효동),39,3,126.6080904173,33.2711819574,20240325160256,,,A02,A0206,A02060100,14
