contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid,NX,NY
127480,가거도,전라남도 신안군 흑산면 가거도길 38-2,(흑산면),38.0,12.0,125.1125145,34.07401665,20240500000000.0,,,A01,A0101,A01011300,12,26,50
126273,가계해수욕장,전라남도 진도군 고군면 신비의바닷길 47,(고군면),38.0,21.0,126.3547412,34.43545949,20240600000000.0,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image3_1.jpg,A01,A0101,A01011200,12,48,57
2019720,가고파 꼬부랑길 벽화마을,경상남도 창원시 마산합포구 성호서7길 15-8,,36.0,16.0,128.5696553,35.2077664,20230400000000.0,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image3_1.jpg,A02,A0203,A02030100,12,88,75
2994116,가곡유황온천&스파,강원특별자치도 삼척시 가곡면 탕곡리,509-3,32.0,4.0,129.2062296,37.15074949,20240500000000.0,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image3_1.jpg,A02,A0202,A02020300,12,97,118
129194,가나아트파크,경기도 양주시 장흥면 권율로 117,,31.0,18.0,126.9497497,37.72545191,20231200000000.0,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,A02,A0202,A02020600,12,58,129
2777865,가남체육공원,경기도 여주시 가남읍 대명산길 98,,31.0,20.0,127.5349142,37.20170935,20230200000000.0,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,A02,A0202,A02020700,12,69,118
2715601,가덕도,부산광역시 강서구 천성동 308-2,,6.0,1.0,128.8169442,35.02296383,20230700000000.0,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image3_1.jpg,A01,A0101,A01011300,12,92,71
129156,가덕도 등대,부산광역시 강서구 외양포로 10,,6.0,1.0,128.8295937,35.00064712,20240800000000.0,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image3_1.jpg,A01,A0101,A01011600,12,93,71
2726843,가덕도 연대봉,부산광역시 강서구 천성동,,6.0,1.0,128.8216714,35.03175182,20231200000000.0,,,A01,A0101,A01010400,12,92,71
2789460,가덕도대항인공동굴,부산광역시 강서구 대항동 393-9,(대항동),6.0,1.0,128.8274686,35.01330955,20240800000000.0,,,A01,A0101,A01011900,12,93,71
3015365,가덕도외양포전망대,부산광역시 강서구 대항동,162-1,6.0,1.0,128.8310519,35.00178313,20230900000000.0,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image3_1.JPG,A02,A0205,A02050600,12,93,71
125462,가덕산,경기도 가평군 북면,,31.0,1.0,127.5683098,37.92023219,20240700000000.0,,,A01,A0101,A01010400,12,69,134
127257,가라산,경상남도 거제시 남부면 다대리,(남부면),36.0,1.0,128.6303347,34.74105029,20240600000000.0,,,A01,A0101,A01010400,12,89,65
2753576,가래실 문화마을,경상북도 영천시 화산면 가래실로 364,,35.0,15.0,128.8892739,36.03280701,20231000000000.0,,,A02,A0201,A02010600,12,93,93
2743285,가력도항,전북특별자치도 부안군 변산면 새만금로 447-27,,37.0,6.0,126.5314023,35.7269248,20240100000000.0,,,A01,A0101,A01011400,12,51,86
125658,가령폭포,강원특별자치도 홍천군 내촌면 와야리,,32.0,16.0,128.1601919,37.83289511,20240800000000.0,,,A01,A0101,A01010800,12,79,132
1553085,가루매마을,경기도 양평군 지평면 부일길 101,(지평면),31.0,19.0,127.6140193,37.45173466,20240800000000.0,,,A02,A0203,A02030100,12,70,123
125463,가리산,경기도 포천시 이동면 장암리,,31.0,29.0,127.4028046,38.04330089,20231100000000.0,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image3_1.jpg,A01,A0101,A01010400,12,66,136
125593,가리산,강원특별자치도 홍천군 두촌면 가리산길 260-9,,32.0,16.0,127.9988087,37.8543979,20240600000000.0,,,A01,A0101,A01010400,12,76,132
126905,가리산자연휴양림,강원특별자치도 홍천군 두촌면 가리산길 426,(두촌면),32.0,16.0,127.9795073,37.86561567,20240800000000.0,,,A01,A0101,A01010600,12,76,133
127508,가리왕산,강원특별자치도 정선군 정선읍 가리왕산로 707,"(가리왕산자연휴양림), 평창 진부면",32.0,11.0,128.5634778,37.4618263,20231200000000.0,http://tong.visitkorea.or.kr/cms/resource/68/2987668_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/68/2987668_image3_1.png,A01,A0101,A01010400,12,86,124
3068424,가리왕산케이블카,강원특별자치도 정선군 북평면 중봉길 41-35,,32.0,11.0,128.6097538,37.47425353,20240500000000.0,,,A02,A0203,A02030400,12,87,124
2820640,가림상회,충청남도 부여군 임천면 성흥로97번길 4-5,,34.0,6.0,126.8928691,36.18990036,20240600000000.0,http://tong.visitkorea.or.kr/cms/resource/19/3305119_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3305119_image3_1.jpg,A02,A0203,A02030400,12,58,96
127423,가마골계곡,전라남도 담양군 용면 용소길 261,,38.0,7.0,127.0227047,35.44518737,20240500000000.0,http://tong.visitkorea.or.kr/cms/resource/35/3027135_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3027135_image3_1.jpg,A01,A0101,A01010900,12,60,80
126289,가마미해수욕장,전라남도 영광군 홍농읍 가마미로 355,,38.0,16.0,126.409077,35.39972939,20240600000000.0,http://tong.visitkorea.or.kr/cms/resource/63/3018763_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3018763_image3_1.jpg,A01,A0101,A01011200,12,49,79
1625067,가마소계곡,전북특별자치도 부안군 상서면 청림리,,37.0,6.0,126.597968,35.64124956,20240600000000.0,,,A01,A0101,A01010900,12,53,84
1884191,가마오름,제주특별자치도 제주시 한경면 청수서5길 63,,39.0,4.0,126.250704,33.3059197,20231200000000.0,,,A01,A0101,A01010400,12,47,33
2745573,가막들공원,경기도 의왕시 양지편로 41-2,(청계동),31.0,24.0,126.9956966,37.39169152,20231200000000.0,,,A02,A0202,A02020700,12,59,122
1884202,가메창,제주특별자치도 제주시 한경면 청수로 13-3,,39.0,4.0,126.2460707,33.32092353,20231100000000.0,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,A01,A0101,A01010400,12,47,33
128498,가뫼골마을,경상남도 진주시 명석면 관덕길 174,(명석면),36.0,13.0,128.0324121,35.25865659,20230300000000.0,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,A02,A0203,A02030100,12,78,76
1884505,가문이오름,제주특별자치도 서귀포시 표선면 남조로 1487-73,,39.0,3.0,126.6758205,33.40190471,20231200000000.0,,,A01,A0101,A01010400,12,54,35
127268,가배량성,경상남도 거제시 동부면 가배리,,36.0,1.0,128.5722053,34.78175859,20240600000000.0,,,A02,A0201,A02010200,12,88,66
578400,가사도,전라남도 진도군 조도면 가사도길 106,,38.0,21.0,126.0510003,34.47893028,20231200000000.0,,,A01,A0101,A01011300,12,43,58
129141,가사도 등대,전라남도 진도군 조도면 가사도돌목길,,38.0,21.0,126.0429126,34.4611877,20231200000000.0,,,A01,A0101,A01011600,12,43,58
2615324,가사동백숲해변,전라남도 완도군 약산면 해동리,,38.0,18.0,126.9277953,34.36983735,20240600000000.0,,,A01,A0101,A01011200,12,59,56
1916695,가사해수욕장,전라남도 완도군 약산면,,38.0,18.0,126.9281702,34.37048728,20240600000000.0,,,A01,A0101,A01011200,12,59,56
294369,가산사,충청북도 옥천군 안내면 안내회남로 671,,33.0,5.0,127.5973921,36.40158856,20240700000000.0,http://tong.visitkorea.or.kr/cms/resource/29/3339929_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/3339929_image3_1.JPG,A02,A0201,A02010800,12,70,101
2629074,가산산성마을,경상북도 칠곡군 가산면 가산로 891,,35.0,22.0,128.597813,36.05010795,20230300000000.0,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/63/2629063_image2_1.bmp,A02,A0203,A02030100,12,88,93
1957336,가산서원,전라남도 장성군 삼서면 영장로 2015,,38.0,19.0,126.6931004,35.23132266,20240800000000.0,http://tong.visitkorea.or.kr/cms/resource/35/3347635_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/35/3347635_image3_1.JPG,A02,A0201,A02010700,12,54,75
2784347,가산수변공원,경상남도 양산시 동면 가산리 799,,36.0,10.0,129.0178749,35.29506481,20230200000000.0,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,A02,A0202,A02020700,12,96,77
2633896,가산수피아,경상북도 칠곡군 가산면 학하들안2길 105,,35.0,22.0,128.4850692,36.08615455,20240700000000.0,http://tong.visitkorea.or.kr/cms/resource/29/2638129_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2638129_image2_1.JPG,A01,A0101,A01010700,12,86,94
1884521,가새기오름,제주특별자치도 제주시 오라삼동,2848,39.0,4.0,126.5038612,33.48937008,20231200000000.0,,,A01,A0101,A01010400,12,51,37
1578561,가선정,경상남도 거창군 북상면 송계로 731-42,(북상면),36.0,2.0,127.816034,35.77887729,20231200000000.0,,,A02,A0201,A02010700,12,74,87
294390,가섭사,충청북도 음성군 음성읍 가섭길 494,,33.0,6.0,127.7030557,36.96663397,20240700000000.0,http://tong.visitkorea.or.kr/cms/resource/40/3340640_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/40/3340640_image3_1.JPG,A02,A0201,A02010800,12,72,113
1579499,가섭암지 마애여래삼존입상,경상남도 거창군 위천면 상천리,산6-2번지,36.0,2.0,127.7941371,35.73454859,20240500000000.0,,,A02,A0201,A02010700,12,74,86
1885746,가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,,39.0,3.0,126.7231832,33.39317588,20231100000000.0,,,A01,A0101,A01010400,12,55,35
3026711,가시리국산화풍력발전단지,제주특별자치도 서귀포시 표선면 녹산로 464-78,,39.0,3.0,126.73411,33.39393708,20231000000000.0,http://tong.visitkorea.or.kr/cms/resource/95/3026695_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/3026695_image3_1.jpg,A02,A0204,A02040400,12,55,35
1885754,가시오름,제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1,,39.0,3.0,126.250017,33.22363156,20231200000000.0,,,A01,A0101,A01010400,12,47,31
3023389,가실벚꽃길,경기도 용인시 처인구 포곡읍 가실리,212-1,31.0,23.0,127.1923454,37.29331478,20240500000000.0,,,A02,A0203,A02030600,12,63,120
2513971,가실성당,경상북도 칠곡군 왜관읍 가실1길 1,,35.0,22.0,128.4049221,35.93681725,20230600000000.0,http://tong.visitkorea.or.kr/cms/resource/86/2687486_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2687486_image3_1.jpg,A02,A0201,A02010900,12,84,91
2788410,가야공원 / 가야산책공원,부산광역시 부산진구 엄광로 118,(가야동),6.0,7.0,129.0276892,35.14834533,20230900000000.0,,,A01,A0101,A01010500,12,96,74
2714140,가야랜드,경상남도 김해시 인제로 368,(삼방동),36.0,4.0,128.902461,35.25821126,20230800000000.0,,,A02,A0202,A02020600,12,94,76
3030551,가야산 돌할매 신비의돌,경상북도 성주군 수륜면 성주가야산로 278,,35.0,10.0,128.1448182,35.80266105,20231100000000.0,,,A02,A0205,A02050600,12,80,88
2414679,가야산 소리길,경상남도 합천군 가야면 가야산로 1783,,36.0,21.0,128.0909094,35.79111416,20231100000000.0,http://tong.visitkorea.or.kr/cms/resource/49/1963749_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/1963749_image3_1.jpg,A03,A0302,A03022700,12,79,88
129212,가야산 야생화식물원,경상북도 성주군 수륜면 가야산식물원길 49,,35.0,10.0,128.1418573,35.80312761,20230800000000.0,http://tong.visitkorea.or.kr/cms/resource/99/2724199_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2724199_image3_1.jpg,A01,A0101,A01010700,12,80,88
125822,가야산,충청남도 서산시 해미면 산수리,,34.0,7.0,126.609106,36.70398643,20240700000000.0,http://tong.visitkorea.or.kr/cms/resource/92/3055092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3055092_image3_1.jpg,A01,A0101,A01010400,12,53,107
126023,가야산국립공원,경상북도 성주군 수륜면 백운리,일원,35.0,10.0,128.1418102,35.80017794,20240500000000.0,,,A01,A0101,A01010100,12,80,88
126022,가야산국립공원,경상남도 합천군 가야산로 1200 가야산국립공원관리사무소,,36.0,21.0,128.1322258,35.7675648,20230900000000.0,,,A01,A0101,A01010100,12,80,87
2733515,가야산역사신화테마관,경상북도 성주군 수륜면 가야산식물원길 21,,35.0,10.0,128.1410602,35.80106394,20230800000000.0,http://tong.visitkorea.or.kr/cms/resource/16/2733516_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/16/2733516_image2_1.png,A02,A0202,A02020700,12,80,88
128481,가야산칠불봉 야생화마을,경상북도 성주군 가천면 동신로 28,,35.0,10.0,128.102926,35.856232,20240600000000.0,,,A02,A0203,A02030100,12,79,89
250121,가야의 거리,경상남도 김해시 봉황동,,36.0,4.0,128.8725475,35.23554659,20240600000000.0,,,A02,A0203,A02030600,12,93,76
3013529,가야정원,전라남도 순천시 해룡면 농주리,230-10,38.0,11.0,127.5222505,34.86190894,20240500000000.0,,,A01,A0101,A01010700,12,69,67
