contentid,title,mapx,mapy,nx,ny
127480,가거도,125.1125145,34.07401665,27,51
126273,가계해수욕장,126.3547412,34.43545949,49,58
2019720,가고파 꼬부랑길 벽화마을,128.5696553,35.2077664,89,76
2994116,가곡유황온천&스파,129.2062296,37.15074949,98,119
129194,가나아트파크,126.9497497,37.72545191,59,130
2777865,가남체육공원,127.5349142,37.20170935,70,119
2715601,가덕도,128.8169442,35.02296383,93,72
129156,가덕도 등대,128.8295937,35.00064712,94,72
2726843,가덕도 연대봉,128.8216714,35.03175182,93,72
2789460,가덕도대항인공동굴,128.8274686,35.01330955,94,72
3015365,가덕도외양포전망대,128.8310519,35.00178313,94,72
125462,가덕산,127.5683098,37.92023219,70,135
127257,가라산,128.6303347,34.74105029,90,66
2753576,가래실 문화마을,128.8892739,36.03280701,94,94
2743285,가력도항,126.5314023,35.7269248,52,87
125658,가령폭포,128.1601919,37.83289511,80,133
1553085,가루매마을,127.6140193,37.45173466,71,124
125463,가리산,127.4028046,38.04330089,67,137
125593,가리산,127.9988087,37.8543979,77,133
126905,가리산자연휴양림,127.9795073,37.86561567,77,134
127508,가리왕산,128.5634778,37.4618263,87,125
3068424,가리왕산케이블카,128.6097538,37.47425353,88,125
2820640,가림상회,126.8928691,36.18990036,59,97
127423,가마골계곡,127.0227047,35.44518737,61,81
126289,가마미해수욕장,126.409077,35.39972939,50,80
1625067,가마소계곡,126.597968,35.64124956,54,85
1884191,가마오름,126.250704,33.3059197,48,34
2745573,가막들공원,126.9956966,37.39169152,60,123
1884202,가메창,126.2460707,33.32092353,48,34
128498,가뫼골마을,128.0324121,35.25865659,79,77
1884505,가문이오름,126.6758205,33.40190471,55,36
127268,가배량성,128.5722053,34.78175859,89,67
578400,가사도,126.0510003,34.47893028,44,59
129141,가사도 등대,126.0429126,34.4611877,44,59
2615324,가사동백숲해변,126.9277953,34.36983735,60,57
1916695,가사해수욕장,126.9281702,34.37048728,60,57
294369,가산사,127.5973921,36.40158856,71,102
2629074,가산산성마을,128.597813,36.05010795,89,94
1957336,가산서원,126.6931004,35.23132266,55,76
2784347,가산수변공원,129.0178749,35.29506481,97,78
2633896,가산수피아,128.4850692,36.08615455,87,95
1884521,가새기오름,126.5038612,33.48937008,52,38
1578561,가선정,127.816034,35.77887729,75,88
294390,가섭사,127.7030557,36.96663397,73,114
1579499,가섭암지 마애여래삼존입상,127.7941371,35.73454859,75,87
1885746,가세오름,126.7231832,33.39317588,56,36
3026711,가시리국산화풍력발전단지,126.73411,33.39393708,56,36
1885754,가시오름,126.250017,33.22363156,48,32
3023389,가실벚꽃길,127.1923454,37.29331478,64,121
2513971,가실성당,128.4049221,35.93681725,85,92
2788410,가야공원 / 가야산책공원,129.0276892,35.14834533,97,75
2714140,가야랜드,128.902461,35.25821126,95,77
3030551,가야산 돌할매 신비의돌,128.1448182,35.80266105,81,89
2414679,가야산 소리길,128.0909094,35.79111416,80,89
129212,가야산 야생화식물원,128.1418573,35.80312761,81,89
125822,가야산,126.609106,36.70398643,54,108
126023,가야산국립공원,128.1418102,35.80017794,81,89
126022,가야산국립공원,128.1322258,35.7675648,81,88
